račun,naučenost,čas,count,score
40:8,0.00,0.00,0,0
48:8,0.00,0.00,0,0
56:8,0.00,0.00,0,0
64:8,0.00,0.00,0,0
72:8,0.00,0.00,0,0
80:8,0.00,0.00,0,0
9:9,0.00,0.00,0,0
18:9,0.00,0.00,0,0
27:9,0.00,0.00,0,0
36:9,0.00,0.00,0,0
45:9,0.00,0.00,0,0
54:9,0.00,0.00,0,0
63:9,0.00,0.00,0,0
72:9,0.00,0.00,0,0
81:9,0.00,0.00,0,0
90:9,0.00,0.00,0,0
10:10,0.00,0.00,0,0
20:10,0.00,0.00,0,0
30:10,0.00,0.00,0,0
40:10,0.00,0.00,0,0
50:10,0.00,0.00,0,0
60:10,0.00,0.00,0,0
70:10,0.00,0.00,0,0
80:10,0.00,0.00,0,0
90:10,0.00,0.00,0,0
100:10,0.00,0.00,0,0
1*1,0.00,0.00,0,100
1*2,0.00,0.00,0,100
1*3,0.00,0.00,0,100
1*4,0.00,0.00,0,100
1*5,0.00,0.00,0,100
1*6,0.00,0.00,0,100
1*7,0.00,0.00,0,100
1*8,0.00,0.00,0,100
1*9,0.00,0.00,0,100
1*10,0.00,0.00,0,100
2*1,2.05,4053.40,2,100
2*2,1.00,3216.00,1,100
2*3,1.01,2882.00,1,100
2*4,1.64,9080.20,2,100
2*5,1.49,1797.00,1,100
2*6,1.09,2491.00,1,100
2*7,1.81,5364.40,2,100
2*8,1.04,2685.00,1,100
2*9,2.08,5162.90,2,100
2*10,2.16,1145.00,1,100
3*1,0.00,0.00,0,100
3*2,0.00,0.00,0,100
3*3,0.00,0.00,0,100
3*4,0.00,0.00,0,100
3*5,0.00,0.00,0,100
3*6,0.00,0.00,0,100
3*7,0.00,0.00,0,100
3*8,0.00,0.00,0,100
3*9,0.00,0.00,0,100
3*10,0.00,0.00,0,100
4*1,1.03,2736.00,1,100
4*2,1.55,1729.00,1,100
4*3,2.43,2751.60,2,100
4*4,1.87,1397.00,1,100
4*5,0.91,4909.00,1,100
4*6,1.32,6414.20,2,100
4*7,1.10,2469.00,1,100
4*8,1.48,6331.20,2,100
4*9,1.11,2450.00,1,100
4*10,2.01,1272.00,1,100
5*1,1.72,1544.00,1,100
5*2,1.57,1701.00,1,100
5*3,1.01,2995.00,1,100
5*4,2.20,3117.90,2,100
5*5,1.10,2462.00,1,100
5*6,1.20,2239.00,1,100
5*7,0.98,3539.00,1,100
5*8,1.20,2245.00,1,100
5*9,1.08,2541.00,1,100
5*10,1.69,1569.00,1,100
6*1,0.00,0.00,0,100
6*2,0.00,0.00,0,100
6*3,0.00,0.00,0,100
6*4,0.00,0.00,0,100
6*5,0.00,0.00,0,100
6*6,0.00,0.00,0,100
6*7,0.00,0.00,0,100
6*8,0.00,0.00,0,100
6*9,0.00,0.00,0,100
6*10,0.00,0.00,0,100
7*1,0.00,0.00,0,100
7*2,0.00,0.00,0,100
7*3,0.00,0.00,0,100
7*4,0.00,0.00,0,100
7*5,0.00,0.00,0,100
7*6,0.00,0.00,0,100
7*7,0.00,0.00,0,100
7*8,0.00,0.00,0,100
7*9,0.00,0.00,0,100
7*10,0.00,0.00,0,100
8*1,0.00,0.00,0,100
8*2,0.00,0.00,0,100
8*3,0.00,0.00,0,100
8*4,0.00,0.00,0,100
8*5,0.00,0.00,0,100
8*6,0.00,0.00,0,100
8*7,0.00,0.00,0,100
8*8,0.00,0.00,0,100
8*9,0.00,0.00,0,100
8*10,0.00,0.00,0,100
9*1,0.00,0.00,0,100
9*2,0.00,0.00,0,100
9*3,0.00,0.00,0,100
9*4,0.00,0.00,0,100
9*5,0.00,0.00,0,100
9*6,0.00,0.00,0,100
9*7,0.00,0.00,0,100
9*8,0.00,0.00,0,100
9*9,0.00,0.00,0,100
9*10,0.00,0.00,0,100
10*1,2.25,5998.50,2,100
10*2,1.36,1978.00,1,100
10*3,2.22,1094.00,1,100
10*4,1.55,1732.00,1,100
10*5,2.16,1144.00,1,100
10*6,1.14,2377.00,1,100
10*7,1.95,1324.00,1,100
10*8,1.57,1701.00,1,100
10*9,1.52,1762.00,1,100
10*10,2.58,837.00,1,100
1:1,0.00,0.00,0,100
2:1,0.00,0.00,0,100
3:1,0.00,0.00,0,100
4:1,0.00,0.00,0,100
5:1,0.00,0.00,0,100
6:1,0.00,0.00,0,100
7:1,0.00,0.00,0,100
8:1,0.00,0.00,0,100
9:1,0.00,0.00,0,100
10:1,0.00,0.00,0,100
2:2,1.25,2143.00,1,100
4:2,1.24,5810.40,2,100
6:2,0.84,6370.00,1,100
8:2,0.92,4710.00,1,100
10:2,1.78,4822.80,2,100
12:2,1.05,2622.00,1,100
14:2,0.62,19806.50,2,100
16:2,0.00,0.00,0,100
18:2,1.92,3476.30,2,100
20:2,1.98,4173.30,2,100
3:3,0.00,0.00,0,100
6:3,0.00,0.00,0,100
9:3,0.00,0.00,0,100
12:3,0.00,0.00,0,100
15:3,0.00,0.00,0,100
18:3,0.00,0.00,0,100
21:3,0.00,0.00,0,100
24:3,0.00,0.00,0,100
27:3,0.00,0.00,0,100
30:3,0.00,0.00,0,100
4:4,0.90,5152.00,1,100
8:4,1.87,3131.30,2,100
12:4,1.99,3193.50,2,100
16:4,1.44,11619.50,2,100
20:4,1.35,5819.70,2,100
24:4,1.12,2417.00,1,100
28:4,2.00,3170.90,2,100
32:4,0.99,3259.00,1,100
36:4,0.96,3971.00,1,100
40:4,0.99,3291.00,1,100
5:5,0.00,0.00,0,100
